UID,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,FraudFound_P
1751,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
6327,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
13495,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
12394,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
7824,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
11007,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
7513,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
7250,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
4538,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
10548,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
7038,more than 30,2 to 4,6 years,51 to 65,No,No,External,none,2 to 3 years,1 vehicle,1995,Liability,0
406,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
373,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
12664,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
2947,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
900,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,1
9500,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
3142,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,1
647,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
8408,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
14127,more than 30,more than 4,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1996,Collision,1
2882,more than 30,more than 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,0
3136,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0
5170,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
1151,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,0
2357,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
2641,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,1
5341,more than 30,2 to 4,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
15284,more than 30,2 to 4,5 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
11428,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
8958,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
5500,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
4548,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
10433,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
9620,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
2193,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Collision,0
5963,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,0
14089,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
7998,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
13909,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,1
1227,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
8832,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision,0
3575,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
196,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0
14122,more than 30,more than 4,3 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
11622,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
4593,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,0
10874,more than 30,2 to 4,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,Collision,0
6369,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
9454,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
11297,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
13584,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,1
10625,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
13033,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,0
14389,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
9028,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
11781,more than 30,2 to 4,7 years,51 to 65,No,No,External,more than 5,2 to 3 years,2 vehicles,1996,Collision,0
5076,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,0
4065,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
6376,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
10741,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
9759,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
8203,more than 30,2 to 4,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
9244,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,0
4055,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
740,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
4400,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
7754,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
13268,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
15098,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
8064,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability,0
46,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision,0
5004,more than 30,2 to 4,6 years,36 to 40,Yes,No,Internal,1 to 2,no change,1 vehicle,1994,Collision,0
1803,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
7975,more than 30,more than 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
9105,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
14054,more than 30,2 to 4,more than 7,over 65,Yes,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
3336,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,0
12348,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,1996,All Perils,0
15057,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,4 to 8 years,2 vehicles,1996,All Perils,0
4727,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
2129,more than 30,1,3 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0
13965,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1996,Liability,0
12835,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
426,more than 30,1,more than 7,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision,0
6448,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
4666,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,1
3993,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
570,more than 30,1,5 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
9115,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,All Perils,0
13802,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,3 to 5,no change,1 vehicle,1996,All Perils,1
6310,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
9383,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
12349,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,0
9605,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,0
11387,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
66,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
9447,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
6151,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
1755,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0
1477,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,more than 5,no change,1 vehicle,1994,Collision,0
9665,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
2075,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
2256,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
964,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
2387,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1
4121,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
6992,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
11311,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
6410,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability,0
13355,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
15112,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,none,no change,1 vehicle,1996,Liability,0
5967,more than 30,1,6 years,31 to 35,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Collision,1
5601,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
1761,more than 30,more than 4,7 years,36 to 40,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability,0
5938,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
505,more than 30,1,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
8130,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
1349,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
11670,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
8675,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
6329,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils,0
1655,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability,0
11848,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
15380,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,0
9129,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,2 to 3 years,1 vehicle,1995,Collision,0
76,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,0
7972,more than 30,none,5 years,26 to 30,Yes,No,External,none,no change,1 vehicle,1995,All Perils,0
13096,more than 30,2 to 4,more than 7,51 to 65,Yes,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
1284,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
7896,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Liability,0
6405,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability,0
10198,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
11632,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,0
14531,more than 30,none,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
7637,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
1610,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,0
14437,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
13208,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
8997,more than 30,more than 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
1741,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
9804,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
10776,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils,0
1189,more than 30,none,6 years,31 to 35,No,No,External,none,no change,3 to 4,1994,All Perils,0
9656,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,0
14015,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,1
15082,more than 30,2 to 4,more than 7,over 65,No,No,Internal,none,no change,1 vehicle,1996,Liability,0
12687,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
1533,more than 30,more than 4,more than 7,41 to 50,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Liability,0
12449,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,Collision,0
8513,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
7855,more than 30,1,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
2157,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0
12261,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
6702,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
4669,more than 30,1,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
5764,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
1772,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,0
6296,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Collision,0
4020,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
1192,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
4188,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
9078,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,2 to 3 years,1 vehicle,1995,Liability,0
12940,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
10297,more than 30,2 to 4,3 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
4473,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,0
10019,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision,0
8884,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
5658,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,3 to 4,1994,All Perils,0
3981,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,0
5911,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability,0
7197,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
4688,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
5602,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
7383,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
14125,more than 30,1,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
11972,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,3 to 4,1996,All Perils,1
2019,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
8345,more than 30,2 to 4,6 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
4257,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
12068,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
6890,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils,0
2570,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,0
11457,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,0
4110,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,0
15306,more than 30,2 to 4,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,0
11939,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,1
5434,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,1
9847,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
11477,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,0
9015,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
1222,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
8651,more than 30,more than 4,7 years,41 to 50,No,No,External,none,no change,3 to 4,1995,Liability,0
7367,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
5406,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Liability,0
821,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
9106,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,1
7044,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,0
10275,more than 30,none,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
12496,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
5834,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability,0
2819,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
6066,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,0
15400,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
5595,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,0
11864,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,0
9949,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability,0
5952,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,0
2912,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,1 year,1 vehicle,1994,Collision,0
2058,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability,0
14374,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,0
5084,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,3 to 4,1994,Collision,0
9624,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision,0
7673,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision,0
2820,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,1
1750,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,0
14403,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,0
5742,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
11333,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,All Perils,0
5041,more than 30,1,7 years,41 to 50,No,No,External,none,no change,5 to 8,1994,All Perils,0
8536,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
12440,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Collision,0
8706,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
13775,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
8820,more than 30,none,6 years,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1995,All Perils,0
2834,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
11327,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,0
4823,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,1 year,1 vehicle,1994,Collision,0
13704,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,0
11499,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,0
7437,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
8467,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability,0
10646,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
14526,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
7474,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
13341,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
3700,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,0
8961,more than 30,none,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
739,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,0
6777,more than 30,2 to 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability,0
12413,more than 30,2 to 4,more than 7,36 to 40,No,No,Internal,more than 5,no change,1 vehicle,1996,Liability,0
14445,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
5492,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,0
4216,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
11213,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability,0
10226,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,0
6284,more than 30,none,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
13081,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,0
2273,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,0
8806,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1995,Liability,0
15065,more than 30,none,6 years,over 65,No,No,External,none,no change,1 vehicle,1996,Collision,1
9212,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
12766,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,0
14277,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,0
3907,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
14943,more than 30,more than 4,5 years,26 to 30,No,No,External,none,2 to 3 years,1 vehicle,1996,Collision,0
10101,more than 30,none,6 years,31 to 35,Yes,No,External,none,1 year,2 vehicles,1995,Collision,0
5361,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,0
5387,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,0
5159,more than 30,more than 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Liability,0
15295,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
14144,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,0
2087,more than 30,1,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,0
9478,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,0
6950,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,0
11080,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,0
11418,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,0
14549,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,0
